Name,Address,Zipcode,County,Latitude,Longitude,Description,Highlight,WiFi,Outlets,HotFood,Restroom,Seats,TimeRestriction,RestrictionAmount,ScoutName
Sweet Moment,"106 Mott St Frnt P, New York, NY 10013, United States",10013,Manhattan,40.71767,-73.99724,"Note there is no work and wifi in the weekends but great place to work or socialize weekdays, known for their shaved ice desserts, ambiance and kpop cupsleeve events. Plently of seats scattered throughout the cafe but can become crowded easily space wide when busy.",FALSE
The Monroe,"49 Monroe St, New York, NY 10002",10002,Manhattan,40.66168,-73.76818,"Tons of seats and variety of seats, great ambiance to get work done or just to hang out in the day and have a drink at night. Bar cafe environment, more casual at-home ambiance, cash pool. ",FALSE
Gemina Coffee Shop,"424 E 14th St, New York, NY 10009, United States",10009,Manhattan,40.66504,-73.94816,"Cozy minimalist but inviting cafe, space is towards the back with limited seating and bathroom, drinks are made well here and enterance is a little narrow, can be easily missed at first - next to wing stop.",FALSE
Frame NYC,"1413 2nd Ave, New York, NY 10021, United States",10021,Manhattan,40.76989,-73.95757,"Can get crowded very quickly, great for socializing but few seating, has some fun drinks. Strong wifi",FALSE
Ginjan Cafe,"85 E 125th St, New York, NY 10035, United States",10035,Manhattan,40.67711,-73.94703,"Convenient location great to get some work done and socialize. Clean, community focused environment, an ideal chill work spot",FALSE
Common Good Harlem,"2801 Frederick Douglass Blvd, New York, NY 10039, United States",10039,Manhattan,40.82527,-73.94015,"Community centered focused cafe, great coffee and hot foods plenty of options for all, open free strong WiFi. Nice chill window corner for exposed sunlight, comfortable chairs ",FALSE
Blu Cafe,"120 Riverside Blvd, New York, NY 10069, United States",10069,Manhattan,40.77643,-73.98947,TBD - Filler for cafe description and/or summary until reviewed and confirmed with all information up-to-date.,FALSE
The Townhouse Cafe,"1669 Lexington Ave Store, New York, NY 10029, United States",10029,Manhattan,40.7914,-73.94689,"Community vibe minimlist and modern cafe great for working and socializing, bright space, confirmed WPA2-Personal secure wifi.",FALSE
Full Moon Cafe,"42-14 Greenpoint Ave, Sunnyside, NY 11104, United States",11104,Queens,40.74067,-73.92253,"Great local small business with good food and cozy community vibes, inviting atmosphere to socialize or get work done",FALSE
Busy Bee Coffee,"35-20 Leavitt St, Flushing, NY 11354, United States",11354,Queens,40.76439,-73.82888,"Great cafe location to socialize and get work done, various seating options and great food options",FALSE
